answer,question
"In this article, we will review the TeC error: ""Line numbers must be unique."".
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
 Guide

Issue Review:
When sending or receiving invoices, you could encounter the error ""
Line numbers must be unique.
"".
This error occurs when two or more invoice lines share the same line number. Each line item on an invoice must have a unique line number (e.g., 1, 2, 3, ).
The error can be visible in both ""Sent"" & ""Rejected"" menus, depending on whether you are sending or receiving the invoicing document. The error message will remain the same.

Solution:
Your next step will depend on whether you are sending or receiving invoices:
If you are a supplier (sending the invoice
): You should verify the following:
Ensure each invoice line has a unique number. Avoid repeating line numbers across rows.
Use sequential numbering (e.g., 1, 2, 3) to maintain clarity and consistency.
Check your invoicing system or export templates to ensure line numbers are generated correctly.
If you are a customer (receiving the invoice)
: Your options are the following:
Communicate line number requirements in your invoice submission guidelines.
Provide feedback to suppliers when this error occurs and guide them on how to correct it.
If you are fine with receiving invoice lines with duplicate numbers, this validation can be turned off in your recipient profile. In order to turn this validation off, you must contact our Technical Support and have an integrated account with Plus/Premium membership level:
Tungsten e-Invoice Connect (TeC) - How to contact TeC Technical Support?
If you wish to make an exception, you can accept to receive the document without the expected value. From the menu ""
Invoice
"" ""
Rejected
"", you can find the invoice in error. After selecting it, you can either press the button ""Accept"" or ""Reject"".",Tungsten e-Invoice Connect (TeC) - Error Troubleshooting: Line numbers must be unique
"In this article, we will review the TeC error: ""The maximum number of allowances/charges that can be defined: 123 on line 123."".
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
 Guide

Issue Review:
When sending or receiving invoices, you could encounter the error ""
The maximum number of allowances/charges that can be defined: 123 on line 123.
"".
This error means that the invoice cannot be processed because the number of allowances/Charges defined on a line exceeds the limit allowed by the recipient. If the error mentions ""1 on line"", this does mean that the recipient allows only 1 allowance or special charge to be provided on the line. The supplier most likely provided more than that value. If you provide one allowance and one special charge (so one of each), it will count as two allowances/charges. This rule is decided by the recipient, and limitations can vary.
The error can be visible in both ""Sent"" & ""Rejected"" menus, depending on whether you are sending or receiving the invoicing document. The error message will remain the same.

Solution:
Your next step will depend on whether you are sending or receiving invoices:
If you are a supplier (sending the invoice
): You should verify the following:
Make sure not to exceed the limit allowed by your recipient. If you are not familiar with this rule, you should contact your client to learn about their validations in place.
If the error mentions only ""1 on line X"", this means you can provide only 1 special charge/allowance. Providing one line of each will count as two and not be possible.
If you are a customer (receiving the invoice)
: Your options are the following:
Communicate the precise requirements clearly to your suppliers to ensure compliance. You should explain to suppliers how you expect to receive any special scenario, such as transport charges or special charges in your invoices (if applicable).
If you wish to make an exception, you can accept to receive the document without the expected value. From the menu ""
Invoice
"" ""
Rejected
"", you can find the invoice in error. After selecting it, you can either press the button ""Accept"" or ""Reject"".",Tungsten e-Invoice Connect (TeC) - Error Troubleshooting: The maximum number of allowances/charges that can be defined: 123 on line 123
"In this article, we will review the TeC error: ""The supplier VAT registration number is missing."".
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
 Guide

Issue Review:
When sending or receiving invoices, you could encounter the error ""
The supplier VAT registration number is missing.
"".
This error means that the invoice cannot be processed correctly because the supplier has not provided a VAT registration number, and the company is not marked as tax exempt.
This can happen due to missing or incorrectly entered VAT number.
The error can be visible in both ""Sent"" & ""Rejected"" menus, depending on whether you are sending or receiving the invoicing document. The error message will remain the same.

Solution:
Your next step will depend on whether you are sending or receiving invoices:
If you are a supplier (sending the invoice
): You should verify the following:
Ensure that your VAT registration number is included and correctly formatted in the invoice data. You can add them from the menu ""
Settings
"" ""
Member account
"". Then in the part ""
Party identifiers
"", add a line by selecting a country, type as VAT/Tax ID, and the identifier. Press the button ""
Add
"". Finally, at the bottom, press the button ""
Save
"".
If the error still triggers, make sure on the invoice document itself, the supplier VAT/Tax ID is correctly selected. If ""None"" is selected, you must change it to the appropriate VAT/Tax ID available.
If you are a customer (receiving the invoice)
: Your options are the following:
Request that suppliers include their VAT number in all invoice submissions.
If you wish to make an exception, you can accept to receive the document without the expected value. From the menu ""
Invoice
"" ""
Rejected
"", you can find the invoice in error. After selecting it, you can either press the button ""Accept"" or ""Reject"".",Tungsten e-Invoice Connect (TeC) - Error Troubleshooting: The supplier VAT registration number is missing.
"In this article, we will review the TeC error: ""Value missing for Tax exemption text on line 123."".
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
 Guide

Issue Review:
When sending or receiving invoices, you could encounter the error ""
Value missing for Tax exemption text on line 123.
"".
This error means that the invoice includes a tax exemption category (such as 0% VAT, Tax exempt...) but lacks the required justification text. A valid reason must be provided when a tax exemption is applied.
The error can be visible in both ""Sent"" & ""Rejected"" menus, depending on whether you are sending or receiving the invoicing document. The error message will remain the same.

Solution:
Your next step will depend on whether you are sending or receiving invoices:
If you are a supplier (sending the invoice
): You should verify the following:
Ensure that the correct Tax code/category is used.
If you use tax exemption (0% tax, Tax Exempt, Tax not applicable...), please provide a tax exemption text to justify it. If you create the invoice from our portal, you must add this text under the field ""
Tax exemption text
"" (select ""More details"" to display it). Using a different field will not pass the validation.
If you are a customer (receiving the invoice)
: Your options are the following:
Communicate proper formatting and requirements to your suppliers.
If you wish to make an exception, you can accept to receive the document without the expected value. From the menu ""
Invoice
"" ""
Rejected
"", you can find the invoice in error. After selecting it, you can either press the button ""Accept"" or ""Reject"".",Tungsten e-Invoice Connect (TeC) - Error Troubleshooting: Value missing for Tax exemption text on line 123.
"In this article, we will review the TeC error: ""Value provided for Buyer's reference 1 ('ABC') is not a valid reference.""
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
 Guide

Issue Review:
When sending or receiving invoices, you could encounter the error ""
Value provided for Buyer's reference 1 ('ABC') is not a valid reference
"".
This error indicates that the value entered for Buyers Reference 1. In this case, 'ABC' (or any other value visible in the error message) is not recognized or accepted by the recipients system. The recipient has a predefined list of valid references, and the provided value does not match any of them.
The error can be visible in both ""Sent"" & ""Rejected"" menus, depending on whether you are sending or receiving the invoicing document. The error message will remain the same.

Solution:
Your next step will depend on whether you are sending or receiving invoices:
If you are a supplier (sending the invoice
): You should verify the following:
Do not use generic placeholders like 'n/a', 'N/A', 'none', '0', or 'unknown' unless explicitly allowed by the recipient.
Check the recipients documentation or onboarding guide for a list of accepted buyer references.
Contact the Customer: If you're unsure which reference to use, reach out to your customers to obtain the correct value.
If you are a customer (receiving the invoice)
: Your options are the following:
Maintain a clear reference List and ensure your suppliers have access to an up-to-date list of valid buyer references. You can add or verify the allowed values from the menu ""
Settings
"" ""
Receiving
"", then the option ""
Reference validation settings
"".
Include reference requirements in your supplier materials or invoice guidelines.
If a supplier repeatedly sends invalid references, notify them of the correct value and explain the importance of using it.
If you wish to make an exception, you can accept to receive the document without the expected value. From the menu ""
Invoice
"" ""
Rejected
"", you can find the invoice in error. After selecting it, you can either press the button ""Accept"" or ""Reject"".",Tungsten e-Invoice Connect (TeC) - Error Troubleshooting: Value provided for Buyer's reference 1 ('ABC') is not a valid reference.
"In this article, we will review the TeC error: ""At least 1 Supplier Organization ID expected, but 0 found."".
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
 Guide

Issue Review:
When sending or receiving invoices, you could encounter the error ""
At least 1 Supplier Organization ID expected, but 0 found.
"".
This error means that the invoice cannot be processed because the suppliers organization ID is missing. The system requires at least one valid organization ID to proceed.
The error can be visible in both ""Sent"" & ""Rejected"" menus, depending on whether you are sending or receiving the invoicing document. The error message will remain the same.

Solution:
Your next step will depend on whether you are sending or receiving invoices:
If you are a supplier (sending the invoice
): You should verify the following:
Ensure that your Org ID is included and correctly formatted in the invoice data. You can add them from the menu ""
Settings
"" ""
Member account
"". Then in the part ""
Party identifiers
"", add a line by selecting a country, type as ""
Organization no
"" (or similar depending on the country), and the identifier. Press the button ""
Add
"". Finally, at the bottom, press the button ""
Save
"".
If you are a customer (receiving the invoice)
: Your options are the following:
Request that suppliers include their Org ID in all invoice submissions.
If you wish to make an exception, you can accept to receive the document without the expected value. From the menu ""
Invoice
"" ""
Rejected
"", you can find the invoice in error. After selecting it, you can either press the button ""Accept"" or ""Reject"".","Tungsten e-Invoice Connect (TeC) - Error Troubleshooting: At least 1 Supplier Organization ID expected, but 0 found"
"In this article, we will review the TeC error: ""Electronic recipient could not be identified and a printing service is not used."".
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
 Guide

Issue Review:
When sending or receiving invoices, you could encounter the error ""
Electronic recipient could not be identified and a printing service is not used.
"".
This error means that the invoice cannot be delivered electronically because either:
1. The recipients electronic identifiers are missing or it is incorrect.
2. The recipient is not yet set up for e-invoicing via interoperability in the registry, and no printing service is enabled.
The error can be visible in the ""Sent"" menu for suppliers only. A recipient can't view the error because the correct destination couldn't be found.

Solution:
Your next step will depend on whether you are sending or receiving invoices:
If you are a supplier (sending the invoice
): You should verify the following:
Verify the recipients identifiers (Peppol ID, organization number, GLN, etc.) are correct and properly formatted.
If the identifiers are correct but the error is still showing, submit a support ticket following this guide:
Tungsten e-Invoice Connect (TeC) - How to add or change a customer in the interoperability registry from TeC?
If you are a customer (receiving the invoice)
: Your options are the following:
Ensure your organization is correctly setup in TeC.
Provide accurate and up-to-date identifiers to your suppliers.",Tungsten e-Invoice Connect (TeC) - Error Troubleshooting: Electronic recipient could not be identified and a printing service is not used.
"In this article, we will review the TeC error: ""Invalid GLN."".
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
 Guide

Issue Review:
When sending or receiving invoices, you could encounter the error ""
Invalid GLN.
"".
This error occurs when the Global Location Number (GLN) provided in the invoice is not valid or incorrectly formatted.
EXAMPLE: In this specific case, a GLN prefix was used, but the value provided was an organization number:
PEPPOL 3.0: The schemeID=""0088"" indicates that a GLN is expected, but 555555555 is not a valid GLN.
The error can be visible in both ""Sent"" & ""Rejected"" menus, depending on whether you are sending or receiving the invoicing document. The error message will remain the same.

Solution:
Your next step will depend on whether you are sending or receiving invoices:
If you are a supplier (sending the invoice
): You should verify the following:
Use the correct identifier type: If using schemeID=""0088"", ensure the value is a valid GLN, not an organization number.
Verify the recipients identifier: Confirm whether the recipient expects a GLN or another type of identifier (e.g., OrgNr, VAT number).
Consult the recipient or registry if unsure which identifier to use.
If you don't know the GLN of your customer, and it is expected, please contact them directly to get the proper number.
If you are a customer (receiving the invoice)
: Your options are the following:
Clearly communicate identifier requirements to suppliers, including whether GLN or OrgNr should be used.
Ensure your registry entry is accurate and reflects the correct identifier type and value.
Provide examples of valid GLNs and how they should be formatted in electronic documents.
If you wish to make an exception, you can accept to receive the document without the expected value. From the menu ""
Invoice
"" ""
Rejected
"", you can find the invoice in error. After selecting it, you can either press the button ""Accept"" or ""Reject"".",Tungsten e-Invoice Connect (TeC) - Error Troubleshooting: Invalid GLN.
"In this article, we will review the TeC error: ""Invoices of type 'Credit' are not allowed.""
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
 Guide

Issue Review:
When sending or receiving invoices, you could encounter the error ""
Invoices of type 'Credit' are not allowed.
"".
This error can be triggered when the recipient (customer) configuration isn't set to receive credit notes. The error can be visible in both ""Sent"" & ""Rejected"" menus, depending on whether you are sending or receiving the invoicing document. The error message will remain the same.

Solution:
Your next step will depend on whether you are sending or receiving invoices:
If you are a supplier (sending the invoice
): You should verify with your customer if they accept credit notes. If yes, then your customer should update their configuration (recipient profile), in order to be able to receive such documents.
If you are a customer (receiving the invoice)
: You have two options:
If you receiving invoices via business system integration, you have to ensure that the recipient profile selected include the option ""Credit"". From the menu ""
Settings
"" ""
Addresses
"". Select a legal address, and then verify that the
Recipient profile
with option ""
Credit
"" is added.
If you don't wish to receive such document types, you can reject it. From the menu ""
Invoice
"" ""
Rejected
"", you can find the invoice in error. After selecting it, you can either press the button ""Accept"" or ""Reject"". Accepting the invoice without the proper configuration will not allow you to receive it via business integration.",Tungsten e-Invoice Connect (TeC) - Error Troubleshooting: Invoices of type 'Credit' are not allowed.
"In this article, we will review the TeC error: ""One of due date or payment terms is missing.""
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
 Guide

Issue Review:
When sending or receiving invoices, you could encounter the error ""
One of due date or payment terms is missing.
"".
This error means that the invoice is missing either a due date or a payment terms.
The error can be visible in both ""Sent"" & ""Rejected"" menus, depending on whether you are sending or receiving the invoicing document. The error message will remain the same.

Solution:
Your next step will depend on whether you are sending or receiving invoices:
If you are a supplier (sending the invoice
): Ensure that the ""
Due date
"" and/or ""
Payment terms
"" fields are correctly included and have a value. If creating the invoice from the portal, these fields are available in the section ""
Payment details
"".
If you are a customer (receiving the invoice)
: You have two options:
Communicate proper formatting and logic requirements to your suppliers.
You can accept the document in its current state, without the payment method. From the menu ""
Invoice
"" ""
Rejected
"", you can find the invoice in error. After selecting it, you can press the button ""Accept"" to receive it.",Tungsten e-Invoice Connect (TeC) - Error Troubleshooting: One of due date or payment terms is missing.
"In this article, we will review the TeC error: ""Tax category 'Services outside scope of tax' not allowed on line 123."".
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
 Guide

Issue Review:
When sending or receiving invoices, you could encounter the error ""
Tax category 'Services outside scope of tax' not allowed on line 123.
"".
This error means that the invoice line contains a tax category that doesn't match the tax rate. For example, with the tax category ""Services outside scope of tax"", the expected tax rate will be 0%. To fix the invoice, either the tax rate or the tax category needs to be corrected. Depending on the line type (such as goods, services, special charges...), only specific tax categories will be acceptable.
For Peppol 3.0, a validation is also in place, reflecting the same logic described above:
https://docs.peppol.eu/poacc/billing/3.0/codelist/UNCL5305/
The error can be visible in both ""Sent"" & ""Rejected"" menus, depending on whether you are sending or receiving the invoicing document. The error message will remain the same.

Solution:
Your next step will depend on whether you are sending or receiving invoices:
If you are a supplier (sending the invoice
): You should verify the following:
Make sure that you selected the proper tax rate on your invoice. If 0% is selected, the tax amount should also be 0.
According to your tax rate, you should also select the proper tax category. For example, the tax category ""Exempt from Tax"" must have a 0% VAT line.
If you are a customer (receiving the invoice)
: Your options are the following:
Verify with your supplier the invoice details. They should be invited to either correct the tax percentage or the tax category.
If you wish to make an exception, you can accept to receive the document without the expected value. From the menu ""
Invoice
"" ""
Rejected
"", you can find the invoice in error. After selecting it, you can either press the button ""Accept"" or ""Reject"".",Tungsten e-Invoice Connect (TeC) - Error Troubleshooting: Tax category 'Services outside scope of tax' not allowed on line 123.
"In this article, we will review the TeC error: ""The number of decimals for Quantity/Price/Unit price basis value (123) on line 123 exceeds the maximum allowed (123).""
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
 Guide

Issue Review:
When sending or receiving invoices, you could encounter multiple errors:
The number of decimals for
Price value
(1333.3333333) on line 1 exceeds the maximum allowed (4).
The number of decimals for
Quantity value
(0.083333) on line 8 exceeds the maximum allowed (3).
The number of decimals for
Unit price basis value
(0.0083333333) on line 1 exceeds the maximum allowed (2).
This error means that the invoice contains numeric values with more decimals than allowed by the recipient. The number of decimal numbers allowed can vary depending on the recipient's rules. The error message will always mention the expected value at the end. For example:
Error message
: The number of decimals for Price value (
1333.3333333
) on line 1 exceeds the maximum allowed (
4
).
Expected value
:
1333.3333
because 4 decimals in the maximum.
The error can be visible in both ""Sent"" & ""Rejected"" menus, depending on whether you are sending or receiving the invoicing document. The error message will remain the same.

Solution:
Your next step will depend on whether you are sending or receiving invoices:
If you are a supplier (sending the invoice
): You should verify the following:
Ensure that decimal values do not exceed the allowed amount mentioned in the error message.
Contact your recipient if you are unsure about the rules and limitations in place.
If you are a customer (receiving the invoice)
: Your options are the following:
Communicate the precise requirements clearly to your suppliers to ensure compliance.
If you wish to make an exception, you can accept to receive the document without the expected value. From the menu ""
Invoice
"" ""
Rejected
"", you can find the invoice in error. After selecting it, you can either press the button ""Accept"" or ""Reject"".",Tungsten e-Invoice Connect (TeC) - Error Troubleshooting: The number of decimals for Quantity/Price/Unit price basis value (123) on line 123 exceeds the maximum allowed (123).
"In this article, we will review the TeC error: ""Value missing for Bank transfer Clearing number.""
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
 Guide

Issue Review:
When sending or receiving invoices, you could encounter the error ""
Value missing for Bank transfer Clearing number.
"".
This error means that the invoice or transaction lacks a valid payment method. The system requires at least one supported payment method (Bank number, IBAN, etc.) to proceed. For bank transfers, make sure the clearing number is present in the invoice. If BIC was provided, this is valid only for IBAN transfers.
The error can be visible in both ""Sent"" & ""Rejected"" menus, depending on whether you are sending or receiving the invoicing document. The error message will remain the same.

Solution:
Your next step will depend on whether you are sending or receiving invoices:
If you are a supplier (sending the invoice
):
Review the invoice data and ensure a valid payment method is included. You can add one from the menu ""
Settings
"" ""
Sending
"". In the section ""
Payment method""
, add the desired payment type. If you are unsure, contact the recipient and ask for details.
For bank transfers, make sure the clearing number is present in the invoice. If BIC was provided, this is valid only for IBAN transfers.
If you are a customer (receiving the invoice)
: You have two options:
Contact the sender (supplier) if the invoice was received without payment details. They should correct their invoice document and resend it.
You can accept the document in its current state, without the payment method. From the menu ""
Invoice
"" ""
Rejected
"", you can find the invoice in error. After selecting it, you can press the button ""Accept"" to receive it.",Tungsten e-Invoice Connect (TeC) - Error Troubleshooting: Value missing for Bank transfer Clearing number
"In this article, we will review the TeC error: ""Value missing for Buyer contact Contact name.""
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
 Guide

Issue Review:
When sending or receiving invoices, you could encounter the error ""
Value missing for Buyer contact Contact name.
"".
This error means that the Buyer Contact Name field is required by the recipient, but no value has been provided. The recipients system expects this information to identify the responsible person or department for the purchase, and the absence of this value prevents the invoice or document from being processed.
The error can be visible in both ""Sent"" & ""Rejected"" menus, depending on whether you are sending or receiving the invoicing document. The error message will remain the same.

Solution:
Your next step will depend on whether you are sending or receiving invoices:
If you are a supplier (sending the invoice
): You should verify the following:
Always provide a contact name when required by the recipient. This could be a person, team, or department responsible for the order.
Check recipient requirements and review the recipient invoice guidelines to confirm which fields are mandatory.
Coordinate with your customer to obtain the correct contact name.
If you are a customer (receiving the invoice)
: Your options are the following:
Clearly define required fields in your supplier onboarding materials or invoice submission guidelines.
Provide examples of acceptable contact names (e.g., Peter Pettersson, Procurement Team, etc.).
Notify suppliers when this field is missing and explain how to correct it for future submissions.
If you wish to make an exception, you can accept to receive the document without the expected value. From the menu ""
Invoice
"" ""
Rejected
"", you can find the invoice in error. After selecting it, you can either press the button ""Accept"" or ""Reject"".",Tungsten e-Invoice Connect (TeC) - Error Troubleshooting: Value missing for Buyer contact Contact name.
"In this article, we will review the TeC error: ""Value missing for Buyer order number on invoice level."".
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
 Guide

Issue Review:
When sending or receiving invoices, you could encounter the error ""
Value missing for Buyer order number on invoice level.
"".
This error indicates that the Buyer Order Number at the invoice level has not been provided. The recipients system expects this value to match a predefined value.
The error can be visible in both ""Sent"" & ""Rejected"" menus, depending on whether you are sending or receiving the invoicing document. The error message will remain the same.

Solution:
Your next step will depend on whether you are sending or receiving invoices:
If you are a supplier (sending the invoice
): You should verify the following:
Always include the Buyer Order Number when submitting invoices to customers who require it.
Check the recipients requirements to confirm if the order number is mandatory.
Coordinate with your customer to retrieve the correct order number if its missing from your records.
If you are a customer (receiving the invoice)
: Your options are the following:
Clearly communicate the requirement for Buyer Order Numbers in your invoice submission guidelines.
Provide suppliers with valid order numbers during the ordering process to avoid confusion.
If you wish to make an exception, you can accept to receive the document without the expected value. From the menu ""
Invoice
"" ""
Rejected
"", you can find the invoice in error. After selecting it, you can either press the button ""Accept"" or ""Reject"".",Tungsten e-Invoice Connect (TeC) - Error Troubleshooting: Value missing for Buyer order number on invoice level.
"In this article, we will review the TeC error: ""Value missing for Buyer's reference 1 on invoice level."".
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
 Guide

Issue Review:
When sending or receiving invoices, you could encounter the error ""
Value missing for Buyer's reference 1 on invoice level.
"".
This error indicates that the Buyers Reference 1 field is required at the invoice level, but no value has been provided. The recipient has a predefined list of valid references, and providing no value will result in the document being rejected.
The error can be visible in both ""Sent"" & ""Rejected"" menus, depending on whether you are sending or receiving the invoicing document. The error message will remain the same.

Solution:
Your next step will depend on whether you are sending or receiving invoices:
If you are a supplier (sending the invoice
): You should verify the following:
Always include Buyers Reference 1 when submitting invoices to customers who require it.
Do not use generic placeholders like 'n/a', 'N/A', 'none', '0', or 'unknown' unless explicitly allowed by the recipient.
Check the recipients requirements to confirm if this field is mandatory and what format or values are expected.
Contact your customer to obtain the correct reference if its missing or unclear.
If you are a customer (receiving the invoice)
: Your options are the following:
Maintain a clear reference List and ensure your suppliers have access to an up-to-date list of valid buyer references. You can add or verify the allowed values from the menu ""
Settings
"" ""
Receiving
"", then the option ""
Reference validation settings
"".
Include reference requirements in your supplier materials or invoice guidelines.
If a supplier repeatedly sends invalid/empty references, notify them of the correct value and explain the importance of using it.
If you wish to make an exception, you can accept to receive the document without the expected value. From the menu ""
Invoice
"" ""
Rejected
"", you can find the invoice in error. After selecting it, you can either press the button ""Accept"" or ""Reject"".",Tungsten e-Invoice Connect (TeC) - Error Troubleshooting: Value missing for Buyer's reference 1 on invoice level.
"In this article, we will review the TeC error: ""Value missing for Due date.""
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
 Guide

Issue Review:
When sending or receiving invoices, you could encounter the error ""
Value missing for Due date.
"".
This error means that the invoice cannot be processed because the due date is missing. A valid due date is required to determine payment timelines and ensure proper handling of the invoice.
The error can be visible in both ""Sent"" & ""Rejected"" menus, depending on whether you are sending or receiving the invoicing document. The error message will remain the same.

Solution:
Your next step will depend on whether you are sending or receiving invoices:
If you are a supplier (sending the invoice
): Ensure that the ""
Due date
"" fields is correctly included and have a value. If creating the invoice from the portal, this field is available in the section ""
Payment details
"".
If you are a customer (receiving the invoice)
: You have two options:
Communicate proper formatting and logic requirements to your suppliers.
You can accept the document in its current state, without the payment method. From the menu ""
Invoice
"" ""
Rejected
"", you can find the invoice in error. After selecting it, you can press the button ""Accept"" to receive it.",Tungsten e-Invoice Connect (TeC) - Error Troubleshooting: Value missing for Due date.
"In this article, we will review the TeC error: ""Value missing for Tax exemption text on invoice-level allowances/charges."".
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
 Guide

Issue Review:
When sending or receiving invoices, you could encounter the error ""
Value missing for Tax exemption text on invoice-level allowances/charges.
"".
This error means that the invoice includes a tax exemption category (such as 0% VAT, Tax exempt...) but lacks the required justification text. A valid reason must be provided when a tax exemption is applied.
The error can be visible in both ""Sent"" & ""Rejected"" menus, depending on whether you are sending or receiving the invoicing document. The error message will remain the same.

Solution:
Your next step will depend on whether you are sending or receiving invoices:
If you are a supplier (sending the invoice
): You should verify the following:
Ensure that the correct Tax code/category is used.
If you use tax exemption (0% tax, Tax Exempt, Tax not applicable...), please provide a tax exemption text to justify it. If you create the invoice from our portal, you can add this text under the field ""
Tax exemption text
"" (select ""More details"" to display it).
If you are a customer (receiving the invoice)
: Your options are the following:
Communicate proper formatting and requirements to your suppliers.
If you wish to make an exception, you can accept to receive the document without the expected value. From the menu ""
Invoice
"" ""
Rejected
"", you can find the invoice in error. After selecting it, you can either press the button ""Accept"" or ""Reject"".",Tungsten e-Invoice Connect (TeC) - Error Troubleshooting: Value missing for Tax exemption text on invoice-level allowances/charges.
"In this article, we will review the TeC error: ""Value of Buyer order number on invoice level exceeds maximum length (35)."".
 This article specifically applies to Tungsten e-Invoice Connect (formerly known as Invoice Portal). The information provided here does not apply to other Tungsten Automation products. For support or documentation related to other products, please refer to the appropriate resources
here
.
 Guide

Issue Review:
When sending or receiving invoices, you could encounter the error ""
Value of Buyer order number on invoice level exceeds maximum length (35).
"".
This error means that the invoice cannot be processed correctly because the Buyer order number exceeds the allowed character limit of 35. This can happen due to:
1. Special characters (non-Latin) counted toward the maximum length.
2. Incorrect data entry or formatting spaces, etc
3. An amount of characters that is more than 35.
The error can be visible in both ""Sent"" & ""Rejected"" menus, depending on whether you are sending or receiving the invoicing document. The error message will remain the same.

Solution:
Your next step will depend on whether you are sending or receiving invoices:
If you are a supplier (sending the invoice
): You should verify the following:
Verify that the Buyer order number does not exceed 35 characters. This is a global rule that this number shouldn't be so long.
If you don't know the proper Buyer order number, contact your customer.
If you are a customer (receiving the invoice)
: Your options are the following:
Clearly communicate Buyer order number requirements to suppliers, including the expected format.
If you wish to make an exception, you can accept to receive the document without the expected value. From the menu ""
Invoice
"" ""
Rejected
"", you can find the invoice in error. After selecting it, you can either press the button ""Accept"" or ""Reject"".",Tungsten e-Invoice Connect (TeC) - Error Troubleshooting: Value of Buyer order number on invoice level exceeds maximum length (35).
