answer,question
"No.
It is not our policy to provide such details for any TotalAgility Cloud customer.
REFERENCES",Requests for Subscription ID and Tenant ID for our cloud offering
"Product Management have advised that the SheetId property is used so that ThinClient forms can understand if pages belong to the same sheet or not. Basically front and back pages have the same sheet id.
If it is intended to set a custom value for SheetId you should ensure:
-There should be no front and back pages in the document
-The custom value must be unique for each page
REFERENCES",What is the purpose of the SheetID property in the PageData2 class?
"A temporary solution would be to map the Decimal form variable value to a Numeric form variable and use the Numeric form variable in your action
REFERENCES",value.replace is not a function
"Issue
The message ""Object reference not set to an instance of an object"" is a generic error but it may still be helpful in narrowing down the root cause.
The table below lists common causes of the error
Cause/Solution
Find the associated ""reference action:"" related to your instance of the ""Object reference not set to an instance of an object"" error then check the ""Possible causes"" column
Reference action:
Possible causes
Corrective action
LoadDocuments
No documents in the Document Repository
Establish why there are no documents in the Document Repository
Kofax Transformation Server - SExxx
was aborted due to the following error(s): Error. Failed to execute business rule: ""xxxxx"". The executor returned: ""Object reference not set to an instance of an object.
This was seen for incorrect external web service configuration
Check what the business rule: ""xxxxx"". does
Level of Complexity
Moderate",Possible causes for the error: Object reference not set to an instance of an object.
"Some considerations that may help you:
Authorization type set to 'NTLM Authentication,
A valid session ID,
'JSON'. as the format of the request
Screenshot to illustrate:
Note: Please be aware that Postman is not a Kofax developed utility. Therefore its support will be very limited.
Level of Complexity
Moderate",Error 401 unauthorized when using Postman
"There is no possibility to extract info about license use, an ER is already in place for this ""
Enhancement Request 1214536:
Ability to report on license volume usage by type""
More in general about reporting you can find what is exposing in the
API & Developer documentation
-> Analytics and Reports, this is all documented reporting tables information.
And for writing your own queries, I suggest you this KB Article:
Resources for Writing Custom Analytic/Reporting Queries - Kofax
Level of Complexity
Easy",How to create monthly KTA license statistics
"Reference
Documentation
Licensing
General Info
News
Release Information
Validation Status
Public
Clear All Filters
This publication",Tungsten Automation Knowledge Portal
"Important:
If using a ""Shared Message Connector Pool"" or ""Direct Mode"" import, all import sources should be configured as Mode = Multiple Instance. If the duplicate jobs persist, continue with the below steps.
KTA is packaged with a process called
ImportConnectorEventHandler
to help deal with these duplicates.
This can be found at C:\Program Files\Kofax\TotalAgility\Sample Processes\Import Connector Packages.
The process logic is shown below:
This process has 3 parallel sync nodes each with a different precondition configured on them.
Below is a high level of what happens for each path to become active:
importrun -> When the KTA Core Worker successfully confirms the message in MC, the IMPORTRUN event will be registered against the job. Allowing it to proceed as normal.
importduplicate -> When the KTA Core Worker fails to confirm the message in MC or MC responds stating the message has previously been confirmed, the IMPORTDUPLICATE event is registered against the job. This will automatically terminate the job to prevent duplicates from being sent downstream.
Timeout -> When the KTA Core Worker does not receive a response when confirming a message i.e. due to network issues, a CHECKEVENT event is registered against the job. This event is registered against the job via a trigger process (RaiseEventForImportconnector) after 30 minutes.
The simplest way to leverage this process is to use it as an Embedded Process (not a subjob) within your current import process. The below events would need to be added to your existing import process for the events to be registered against the parent job:
Important
: The
ImportConnectorEventHandler
process is simply a framework to handle certain scenarios when importing messages. This can be modified/extended for more specific requirements.",Duplicate Jobs Created in Total Agility from Import Connector
"Until the fix pack has been applied -
A support case should be raised and Cloud Services will perform a restart of the affected server(s)
REFERENCES",TotalAgility SaaS error - Could not load file or assembly
"Without regard to Docker, event logs can be exported from the command line with the
wevtutil
command. The
docker cp
command can be used to copy files, such as exported event logs, from the container to the host.
The attached PowerShell script will export the Application, Setup, and System event logs and copy them to the same folder as the script, named with the name of the container. The script will either prompt for the name of the container, or if the script has been renamed to end in _NameOfContainer, it will use NameOfContainer.
ExportContainerEventLogs_Prompt.ps1
# get script name and folder
$scriptpath = $MyInvocation.MyCommand.Path
$scriptdir = Split-Path $scriptpath
$scriptname=[io.path]::GetFileNameWithoutExtension($scriptpath)

# consider last text after _ as a container name if present, otherwise prompt for it
$containername=$scriptname.Split(""_"") | Select-Object -Last 1
if (!($scriptname.Contains(""_"")) -or [string]::IsNullOrWhiteSpace($containername) -or $containername.ToLower() -eq ""prompt"")
{ 
 ""Note: Change script name to end in _NameOfContainer to skip prompt.`n""
 $containername = Read-Host 'Name of running container (from docker ps -a) from which to export event logs?'
} else {
 ""Based on filename of script, acting on container named $containername""
}

# dump eventlog within container and copy to current folder
""Deleting existing event log files...""
docker exec $containername cmd /c del C:\Application.evtx
docker exec $containername cmd /c del C:\Setup.evtx
docker exec $containername cmd /c del System C:\System.evtx
""Exporting new event log files...""
docker exec $containername wevtutil epl Application C:\Application.evtx
docker exec $containername wevtutil epl Setup C:\Setup.evtx
docker exec $containername wevtutil epl System C:\System.evtx
""Copying event log files from container to host (${scriptdir})...""
docker cp ${containername}:C:\Application.evtx ${scriptdir}\${containername}-Application.evtx 
docker cp ${containername}:C:\Setup.evtx ${scriptdir}\${containername}-Setup.evtx 
docker cp ${containername}:C:\System.evtx ${scriptdir}\${containername}-System.evtx 
""Done!`n""
Read-Host -Prompt ""Press Enter to exit""
Level of Complexity
Easy",Windows Event Logs From Docker Containers
"If the issue still persist, please gather the following before opening up a support case.
Full version of KTA.
Name of iDP provider and screenshots of ALL configuration screens. Video recording of reproduction is ideal.
Screenshots of ALL Federated Security security settings (all tabs) within KTA.
Unfiltered Event | Application logs from web server(s). Provide approximate time stamp of reproduction.
Capture a Fiddler trace while reproducing the issue. Be sure to enable the HTTPs option within this utility if application.
How to collect a Fiddler trace both HTTP and HTTPs traffic
Level of Complexity
Moderate",The information passed from the provider in invalid using iDP initiated configuration with OKTA
"Issue:
How to resolve an issue where KTA services are unable to start with a 1053 error message?
Windows could not start the Kofax TotalAgility Core Worker service on Local Computer.
Error 1053: The service did not respond to the start or control request in a timely manner.
Solution:
The Application Server was installed with a Backup License Server on the 2nd node.
This setup would require having a backup KTA license that can be activated on the Backup License Server.",How to resolve an issue where KTA services are unable to start with a 1053 error message?
"Issue:
Is there a way that allows for the sorting of a table during the Validation activity?
Solution:
Table Control currently does not have any sorting capability.
The following Enhancement Request 1956459 has been submitted for consideration in a future release.
Enhancement Request 1956459: Add capability in Table Control properties that allows for the sorting of a capture table during the Validation activity",Is there a way that allows for the sorting of a table during the Validation activity?
"Issue:
What can cause an issue where TotalAgility occasionally stops polling?
Solution:
This issue may be related to Bug 1888404 that was fixed starting in KTA 7.9.0.19.
Bug 1888404: [7.9.0.19]Import connector stops polling email messages due to MC_Email.exe Memory Leak",What can cause an issue where TotalAgility occasionally stops polling?
"From time to time it may be required, for troubleshooting reasons, to produce a log file of the activities conducted by the Web Capture Service (WCS).
To facilitate this request the following has been included in the KTA Administrator's Guide:
The default location of the configuration files is: C:\ProgramData\Kofax\WebCapture
Also by default, the log files will be created as the same location as the config files.
The default naming conventions for the log files are:
Kofax.WebCapture.Host_
nnnnn
_
nnn
.txt
Kofax.WebCapture.Worker_
nnnnn
_
nnn
.txt
Level of Complexity
Easy",How to enable Web Capture Logging
"This article provides the KTA-specific information that an experienced developer would need to debug their code. Learning to debug code or troubleshooting Visual Studio debugger issues is beyond the scope of this article.
Debugging an External Process
When debugging a DLL loaded by a separate process, such as .NET assemblies used in KTA processes and forms, you will need to tell Visual Studio to attach to that process. This is done by clicking Attach to Process in the Debug menu.
Determining Correct Process to Debug
The process you need to debug is the process that is loading your assembly and executing the .NET activity or action that you have configured. If you are trying to debug a non-interactive activity in a process, like a .NET process activity, then this is being processed by the Core Worker Service, so you would attach the debugger to Agility.Server.Core.WorkerService.exe.
If you are debugging something that is running from an interactive form, such as a .NET form action, then this is being processed by the IIS Application Pool process, which means you would need to attach to w3wp.exe. However, it is common to have multiple IIS Application Pool processes running on a system, and it is important to attach to the correct one. To determine which process ID is the correct instance of w3wp.exe, run the following command from an elevated command prompt to see which process ID belongs to each Application Pool:
%windir%\system32\inetsrv\appcmd.exe list wp
If on a distributed installation, debugging will need to be done on the system running the relevant process.
Note - In an OPMT environment, or when safescripting is enabled, you have to attach to the process -
Agility.Server.Core.Executor
Where is the DLL file?
If using a local reference, then the DLL file is wherever you have specified. To update it after creating a new build, it will likely be needed to restart the relevant process (Core Worker, or IIS App Pool) so the DLL can be replaced and so the new build can be loaded.
If the DLL has been added to the KTA assembly store, ensure that it has a strong name and an incrementing assembly version as documented in the following article:
Latest DLL version in Store not being picked up
. Upon first use of a specific version of the DLL in the store, the DLL will be downloaded and used locally from the generated assemblies folder (C:\ProgramData\Kofax\TotalAgility\Generated Assemblies\.NET Assemblies). The name will be OriginalName_YYYY-MM-DD hh-mm-ss.dll
Stopping at a Breakpoint
Once Visual Studio attached to the correct process, if all else is well, the debugger will break on breakpoints in your code. Unrelated to KTA, there are many possible pitfalls that can interfere with successful debugging. Most issues will need to be approached with Visual Studio-centric troubleshooting that is beyond the scope of this article, however, the KTA specific details in this article may assist that troubleshooting.
Debugger Does Not Stop at Breakpoint
The simplest reason for the debugger to not stop at a breakpoint is that the code at that point is not actually being run. Double check configuration in KTA to ensure that it is actually running the KTA action that uses the assembly. Double check that the code execution will definitely reach your breakpoint. Consider adding a breakpoint to the first line of the top level function being called by KTA.
The simplest technical problem that prevents stopping at a breakpoint is that debug symbols, in the form of a matching PDB file, could not be loaded. The breakpoint may show an exclamation mark with the message The breakpoint will not currently be hit. No symbols have been loaded for this document. If the DLL has not been loaded at all, then simply initiate whatever action in KTA that would use this assembly so that it loads. If it still shows this message then this suggests that it was not able to load a matching DLL and PDB file.
Is the DLL loaded, and does the DLL match the PDB?
After attaching to a process with Visual Studio, the loaded DLLs can be seen by opening the Modules window (Debug > Windows > Modules). Sort by name to find the DLL of interest. This will also show whether the debug symbols (PDB) are loaded for the DLL, which is required for debugging to work. If they are not loaded, then more detail can be seen by right clicking on the DLL and clicking Symbol Load Information. The right click menu also has a Load Symbols command which allows specifying a PDB file from a different location.
If the symbol load information specifies PDB does not match image, the most common problem is that the DLL has been rebuilt in Visual Studio (which produces an updated PDB file), without being updated in KTA. The debugger must have the PDB file that is an exact match for the DLL.
Merging dependencies with ILMerge (as needed when using the .NET store) may prevent debugging from working properly. Even if the store option will be used later, for the duration of debugging consider switching to a local reference so ILMerge isn't needed.
Example Debugging Steps
Build a DLL with a strong name and an incrementing assembly version as documented
here
.
Add or Update this DLL in KTA Assembly Store in the KTA Designer under Integration > .NET Assemblies
Configure a button on a form to call a function from this DLL, and Release the form.
Navigate to the form and click the button, which causes the DLL to be loaded into KTAs IIS App Pool process
From an elevated command prompt, run the following command to confirm the correct App Pool process
%windir%\system32\inetsrv\appcmd.exe list wp
In Visual Studio, Debug > Attach to Process, then select the w3wp process with the process ID of the TotalAgility App Pool.
Open the Modules window (Debug > Windows > Modules), and sort by name to find the DLL, which should confirm that both the DLL and symbols have been loaded.
Set a breakpoint in the function configured to be called by the form.
Navigate to the form and click the button, which should cause the debugger to stop at the breakpoint.
Level of Complexity
High",Debugging .NET Assemblies in KTA
"Important:
It has been recently communicated that the use of the Repository Browser against an Azure tenant is not supported. This is due to the fact the logins and operations are not logged/audited. Meaning it is not in line with a number of compliance regulations. While functionally the RB will work against an Azure tenant, it is not supported. As such Azure tenants continuing to use the Repository Browser, do so at their own risk.
When opening the RB, a user will be prompted to provide the below information:
TotalAgility URL
For OP environments, this will be http{s}://{servername}/TotalAgility
For OPMT environments, this will be
https://{tenant}.{servername}/TotalAgility
Use Windows Authentication
This states whether or not to use Windows Authentication to connect to the TotalAgility SDK services
Note
: It is a common misconception that this property reflects how the user should authenticate with TotalAgility. However, no TotalAgility logon is performed when using the RB.
TotalAgility System Session ID
This can be found in the Designer -> System -> System Settings -> User Sessions
Below is an example of how these settings are configured for an OP environment.
The
Connect
button will then perform the following actions:
The ServerService SDK will be called to retrieve the capture configuration settings i.e.
The TotalAgility_Documents connection string
The Blob Storage configuration (if applicable)
RB will try to connect directly to the TotalAgility_Documents database using the connection string returned by the ServerService SDK. Therefore, the below caveats need to be taken into account.
The SQL server needs to be accessible from the machine RB is installed on.
If the connection string uses Windows Authentication:
The user running RB needs to be able to log into SQL
The user running RB needs to be a member of the db_datareader role on the
TotalAgility_Documents
database
Exporting or saving documents
Export to disk returns the original source file (e.g. <
SourceFile.ID
/.pdf), which is why the file size and content remain identical.
See:
Export to Disk
Save source file as allows the document or page to be saved in a selected image format. Differences in file size and content can occur, which indicates the file is not the original source file.
See:
Save Source Files",How does the Repository Browser work?
"Issue:
How to download messages in the Message Connector Monitor so they can be imported and rerun using another Storage.bin file in the same or in another environment?
Solution:
To resolve this issue, follow the steps below:
1. Download a copy of the message xml (uuidview.xml) for each message by right-clicking on the XML button under the Commands section in the Message Connector Monitor.
2. Use index2.html in the Message Connector URL (Ex.
http://localhost:25086/file/index2.html)
to get access to the Import XML feature.
3. Import each downloaded message XML file using the Import XML feature.
4. Re-run each message that was imported using the Import XML feature.",How to download messages in the Message Connector Monitor so they can be imported and rerun using another Storage.bin file in the same or in another environment?
"This is a known software defect submitted under Bug ID: 2194045.
The fix is included in:
8.1.0.8 and higher",Skin Rule Fails on Save when using Data Model Variable
Install the latest version of WebCapture Service on the scan station(s).,Prompt to Upgrade WebCapture Service after TotalAgility Upgrade with Compatibility Mode Enabled
"TotalAgility 8.1 supports the following bar code types:
Aztec
Codabar
Code 128
Code 39
Code 39 (Full ASCII)
Code 93
Data matrix
EAN-13
EAN-8
Interleaved 2 of 5
Micro PDF 417
Micro QR Code
PDF 417
POSTNET
QR
UPC-A
UPC-E",Bar Code Support in TotalAgility
"Issue:
Does Web Capture Control currently does have a text selection/lassoing feature that exists for the Atalasoft Document Viewer.
Solution:
Web Capture Control currently does not have a text selection/lassoing feature that exists for the Atalasoft Document Viewer.
The following Enhancement Request 1955438 has been submitted for consideration in a future release.
Enhancement Request 1955438: Add capability in Web Capture Control which allows for the selection/lassoing of text that already exists in Atalasoft Document Viewer",Does Web Capture Control currently does have a text selection/lassoing feature that exists for the Atalasoft Document Viewer?
"Issue:
How to resolve an issue where a message saying that you do not have access occurs when attempting to login to the Kofax Export Connector?
Solution:
Add Designers group to the affected TotalAgility user because access to the Kofax Export Connector does depend on the groups that the TotalAgility user is a member of.",How to resolve an issue where a message saying that you do not have access occurs when attempting to login to the Kofax Export Connector?
"Issue:
How to resolve an issue where the following error occurs when attempting to login to the Kofax Export Connector?
Incorrect user name or password
Solution:
To resolve this issue, please review and apply the following documentation from the
TotalAgility Export Connect Online Help
:
Launch Kofax Export Connector
By default, Kofax Export Connector uses your Windows login credentials.
On the Start menu, select
All Programs > Kofax TotalAgility > Kofax Export Connector
.
Note
If the default windows authentication fails, the Export Connector Login page appears. Enter the user name and password of any resource to log on to Export Connector.",How to resolve an issue where the following error occurs when attempting to login to the Kofax Export Connector?
"Issue:
How to resolve an issue where the following error occurs when trying to setup an Import Source in a TotalAgility SaaS environment?
Unable to connect to remote server with ""Default"" Message Connector.
Solution:
TotalAgility SaaS customers should have a locally hosted Integration Server so the Kofax Message Connector service should be running on premise.",How to resolve an issue where the following error occurs when trying to setup an Import Source in a TotalAgility SaaS environment?
"You will need to verify and run through each Server Variables if they are having any issues.
The error is most likely coming from a connection string, thus you can run through the connection string variables by using a Data Access Node for testing.
When you find the problematic one, it will throw the error message ""Additional non-parsable characters are at the end of the string""","Unable to release/save a business process ""Additional non-parsable characters are at the end of the string"""
"This should be available in the Audit_Log.
You can check this in KTA Workspace > Administration
1) Logged On Users
2) View Audit Log",How to Get Historical Data of Concurrent User TotalAgility
"The Data Access activity in Kofax TotalAgility (TTA) only supports
Transparent Data Encryption (TDE)
.
The following SQL Server encryption options are
not supported
with the Data Access activity:
Cell-Level Encryption (CLE)
Dynamic Data Masking (DDM)
Always Encrypted",SQL Server Encryption Support in Data Access Activity
"1. Add the Service Account to the Local Administrators Group.
2. Then restart the Streaming Service, and it should start successfully without error.",Streaming Service Fails to Start – AddressAccessDeniedException
"Below are some instructions about how you can easily generate a HAR file using different browsers.
Chrome
Firefox
Internet Explorer
Safari
Edge
To generate the HAR file for Chrome
Open Google Chrome and go to the page where the issue is occurring.
Look for the Vertical ellipsis button (3-dot) and select
More Tools > Developer Tools
or hit F12.
From the panel opened, select the
Network
tab.
Look for a round Record button in the upper left corner of the tab, and make sure it is red. If it is grey, click it once to start recording.
Check the box
Preserve log.
Click the Clear button to clear out any existing logs from the Network tab.
Reproduce the issue that you were experiencing before, while the network requests are being recorded.
Once you have reproduced the issue, right-click anywhere on the grid of network requests, select
Save as HAR with Content
, and save the file to your computer. This step may vary depending on the version. One noticeable step is to check if it prompts to save file type as HAR. Screen captured when version is 136.0.7103.114
To generate the HAR file for Firefox
Open Firefox and go to the page where you are experiencing trouble.
Select the Firefox menu (three horizontal parallel lines) at the top-right of your browser window, then select
Web Developer
>
Network
.
The Developer Network Tools opens as a docked panel at the side or bottom of Firefox. Click the
Network
tab.
The recording autostarts when you start performing actions in the browser.
Once you have reproduced the issue and you see that all of the actions have been generated in the Developer Network Panel (should just take a few seconds), right-click anywhere under the
File
column, and click on
Save all as Har
. This step may vary depending on the version. One noticeable step is to check if it prompts to save file type as HAR. Screen captured when version is 138.0.4
Save the HAR file somewhere convenient.
To generate the HAR file for Internet Explorer
Open Internet Explorer and go to the page where the issue is occurring.
Press
F12
on your keyboard (or click the gear icon > F12 Developer Tools)
Click the
Network
tab.
Reproduce the issue that you were experiencing before, while the network requests are being recorded.
Once done click the
Save
button.
Give the trace a filename and click the Save button which will save it as a .
har file
or .xml
file
.
To generate the HAR file for Safari
Before generating the HAR file, make sure you can see the
Develop
menu in Safari. If it is not there, follow the instructions under
Use the developer tools in the Develop menu in Safari on Mac
.
Open the
Develop
menu and select
Show Web Inspector
.
Click the
Network
tab and complete the activity that is causing issues.
Click the
Export
icon on the far right of the network tab and save the HAR file.
To generate the HAR file for Edge
Open Microsoft Edge and go to the page where the issue is occurring.
Look for the horizontal ellipsis button (3-dot) and select
More Tools > Developer Tools
or hit F12.
From the panel opened, select the
Network
tab.
Look for a round Record button in the upper left corner of the tab, and make sure it is red. If it is grey, click it once to start recording.
Check the box
Preserve log.
Click the Clear button to clear out any existing logs from the Network tab.
Reproduce the issue that you were experiencing before, while the network requests are being recorded.
Once you have reproduced the issue, right-click anywhere on the grid of network requests, select
Save as HAR with Content
, and save the file to your computer. This step may vary depending on the version. One noticeable step is to check if it prompts to save file type as HAR. Screen captured when version is 136.0.3240.76
When running Edge in IE mode:
In Windows, open the Run dialog box. For example, press the Windows logo key + R.
Enter %systemroot%\system32\f12\IEChooser.exe, and then click OK.
In IEChooser, select the entry for the IE mode tab.
Level of Complexity
Moderate",How to collect a HAR trace file
"It should be possible to use the FQDN rather than fixed Ips, as the IP Adress might change.
Level of Complexity
Easy",IP Addresses for KTA Cloud
"Please heck the following link from our KTA Documentation regarding
how to configure the federated security
.
Further please check pg. 16 and 32 from our
Kofax TotalAgility Configuration Utility Guide
.
And the answers to the questions are:
Endpoint URL:
it is the URL to the Identity Provider, i.e. the URL that KTA will reach out to
Issuer:
it is the issuer id for the idp
Level of Complexity
Easy",Settings for Federated security using SAML
"Change the Clarity as the default engine in the Classification Groups.
Level of Complexity
Easy",When using OCR results of clarity it differ during run-time processing compared to Transformation Designer
"If each environment is pointing to their own license server, and therefore their own license code, this should not be an issue and both environments can work normally consuming the volume corresponding to their license.",Can 2 environments have the same Mac ID?
"There are no options Out-Of-The-Box within TotalAgility for creating periodic reports of License usage.
The only information that can be found in the TotalAgility Designer by navigating to -> System -> System Settings -> License servers and statistics (Group) and selecting the
Primary server statistics
option, which will show the actual usage of the current license (totals) in the system since it was loaded. The below is an illustration of the page:
The following KB article also mentions the subject:
/bundle/z-kb-articles-salesforce7/page/30780.html
The following Enhancement Request (ER) currently exist but is not currently committed to a future TotalAgility product version:
Enhancement Request 1214536:Ability to report on license volume usage by type
The Tungsten Analytics for TotalAgility (TAFTA) product, a solution provided separately as an add-on to TotalAgility, can be used to create some specific periodic reports
The feature of the TAFTA solution can be obtain at:
https://docshield.tungstenautomation.com/KAFTA/en_US/1.5.0-bh2yfs73wx/print/KofaxAnalyticsForTotalAgilityProductFeaturesGuide_EN.pdf",How to create periodic License usage reports/statistics
"To alleviate this error, the following actions are advised:
Enable compression
in the Pdf Profile
Consider using another capture storage option that would allow files greater than 2GB to be stored.
Please refer to the
Capture Storage
section on page 29 of the
Kofax TotalAgility Configuration Utility Guide
for these options",Pdf Generation - Invalid parameter Size value '-558970796'. The value must be greater than or equal to 0
"Point in time backup/restore is active and automatically backing up the LOB databases. No need to request a back up be taken, only if a restore is needed.",What is the backup mechanism for the Cloud Databases
"When using cloud engines Clarity and Azure AI Document Intelligence, the coordinates they provide characters are of are not as accurate as coordinates provided by engines like OmniPage. Therefore TotalAgility tries to improve these coordinates in a post-processing step referred to as WordBoxOptimization. For example, it tries to bring a top or left margin closer if there is a gap. Or to push a margin out if it is in the middle of the letter.
In general this is good behavior that improves coordinates, so there is no reason to change it. However, in rare cases, WordBoxOptimization has changed coordinates in ways that have triggered errors on some images. Though it means losing the benefits described above, WordBoxOptimization can be disabled to work around errors if needed.
If you wanted to do this, you would modify your Transformation project:
Add the project level script below, integrating it with your existing Application_InitializeScript event if applicable.
Replace <profile-name> with the Azure recognition profile name used in your project.
Additionally add a reference to Tungsten Memphis AzureAI (C:\Program Files (x86)\Common Files\Tungsten\Components\MpsAzureAI.27.dll, where 27 is a component version number that changes)
Private Sub Application_InitializeScript()
Dim profile As MpsPageRecogProfileAzureAI
Set profile = Project.RecogProfiles.ItemByName(<profile-name>)
profile.WordBoxOptimization = False
End Sub
Known issues where this is applicable:
Fixed in 8.1.0.8 - Bug 2193887: Azure OCR - Fox-Exception: Index out of range - triggered by word separation character at edge of page
Bug 2196774:Azure OCR throws error ""box.Right"" on some images",Disabling WordBoxOptimization
"1) Open a new support case and request for a copy.
Be sure the TotalAgility Serial number used for the environment is provided in the case.
Full version of TotalAgility is provided.
This report covers the degree of conformance for the following accessibility standard/guidelines (subject to updates):
Web Content Accessibility Guidelines 2.0
Revised Section 508 standards published January 18, 2017 and corrected January 22, 2018",TotalAgility - Tungsten Automation Accessibility Conformance Report Section 508 request
"When using TotalAgility Cloud, you may have been provided a Line of Business (LOB) Database for use with your TotalAgility solution. When attempting to connect in SQL Server Management Studio (SSMS) with correct credentials, you may see the following error:
This is because your credentials have access only to your specific database, not to the master database where default connections are made. To connect directly to your specific database, do the following:
From the Connect to Server window in SSMS, click Options >> to show additional connection options
Click into the Connection Properties tab
Set the name of your database where it says Connect to database:
Now you will be able to connect","Error while connecting to Azure SQL database in SSMS: security principal is not able to access the database ""master"""
"As these appear to be Windows Security patches therefore outside the remit of TotalAgility.
Currently there are no known issues reported against TotalAgility for the CVE's found above but the normal process would be that any issues found are raised accordingly.",Request for Approval of Planned Security Updates
"In most situations, the
primary logging from Transformation Server
is sufficient and should be used before considering this.
In some situations there could be additional detail in the Scheduler log written by ExtractionProcess.exe. By default, it is set to only log errors, and usually these same errors are already included in the primary TS logs. This log has daily rollover with the name format Scheduler_YYYY_MM_DD.txt. As of TotalAgility 2025.2 the default location for these logs is:
C:\ProgramData\Tungsten\Transformation\Server
In TotalAgility 8.1 and earlier the default is the following folder:
C:\Program Files (x86)\Common Files\Kofax\Server
To change the defaults, open the registry to the following location:
HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Kofax\Transformation\4.0\Logging\
By default, the only value is LogFilePath, which can be changed to a different location if needed.
To include more detail in the logs, add a string value named Scheduler and set the value to any of Error, Warning, Info, Debug. When the value does not exist, it will default to Error.
In addition to this, adding a string named Server and setting the value to Debug, will log a bit of information about internal OmniPage settings being used during processing. Note that this will create a large number of files, as each invocation of the OmniPage child process will write its own file with a process ID and timestamp. Example OmniPage22__12268_20240510_10425050.txt.
Note also that this has much less depth than directly using
Omnipage logging.
For TotalAgility Azure, see internal comments.",Transformation ExtractionProcess Logging
"ISSUE:
When using the Designer | Lookup feature, there is no option to resize panel. This can be challenging when trying to view long values in the
Name
column for example. These would be used in Document Rejection reasons.
Example screenshot of panel in question:
SOLUTION:
The following Enhancement Request has been submitted:
2194251 - Resize the edit Lookup Panel
To check on the status of this Enhancement Request, go ahead and open a new support case and reference this KB article.",Resize the edit Lookup Panel on TA Designer
"The following Enhancement Request has been submitted:
2194410:
Azure- Cannot Select Clarity as Fallback Engine
To check on the status of this Enhancement Request, go ahead and open a new support case and reference this KB article.
Case reference:
27963552",Azure- Cannot Select Clarity as Fallback Engine
"Please open a new Support Case and reference this KB article.
FYI - Tungsten Support Engineers, check internal notes through Salesforce for directions.",How to reset built in Administrator password in a Tungsten hosted TotalAgility Cloud environment
"This is currently not possible.
We cannot change the tenant DB naming convention.",Adding a prefix to a tenant database name
"No, TTA does not require any type of session persistence when a load balancer is used.",Does TTA require session persistence when using a load balancer
"Review the following section of the OPMT environment in the OPMT Installation Guide:
Page 134:
https://docshield.tungstenautomation.com/KTA/en_US/8.1.0-rmx0b1ux3q/print/TungstenTotalAgilityOnPremiseMultiTenantInstallationGuide_EN.pdf
Configure HTTPS communication
Enable SSL (Secure Sockets Layer) communication for the TotalAgility web layer and TotalAgility Core Worker to communicate with core services and the Tungsten Automation Transformation Server.
Any SSL certificates being used must be fully trusted. If no certificates exist, obtain a wildcard certificate. Different certificates should be used for the Production and additional environments. Wildcard SSL certificates secure the website URL and an unlimited number of its sub-domains.
For example, a single wildcard certificate *.
TotalAgility.com
can secure
tenant1.TotalAgility.com
,
tenant2.TotalAgility.com
, and
tenant3.TotalAgility.com
.
Create a single SSL certificate using a split Web-Application and Tenant Management system
Use Subject Alternative Names (SAN) to create a single SSL certificate to use for Tungsten TotalAgility on-premise installation that is using split Web-Application and Tenant Management System on the same deployment.
For example, create a single SSL certificate if you have Web and Application servers as follows:

web.ta.com
is for Tenant Management System on the Web server.
 *.
web.ta.com
is for multiple tenants on the Web server .

app.ta.com
is for Tenant Management System on the Application server.
 *.
app.Tungsten.com
for multiple tenants on the Application server.
1. Set the Subject Alternative Names section to the Fully Qualified Domain Names you wish to use in the certificate request. You can add as many entries as required.
2. Generate the SSL certificate request file and submit it to a Certificate Authority (CA) for signing.
3. Install the pfx certificate in the system and IIS by importing the pfx certificate file on both Web and Application servers.
To create a single SSL certificate for secure Web server and non-secure Application server, install the pfx certificate in the system and IIS by importing the pfx certificate file on the Web server if you have Web and Application servers as follows: 
web.ta.com
(for Tenant Management System on the Web server) *.
web.ta.com
(for multiple tenants on the Web server)",Is a wildcard certificate required for TotalAgility Multi-Tenancy installation?
"In parallel to this release, TotalAgility 8.1.0.4 was released as a pre-requisite for using these new document types.
All document types now require an additional volume license regardless of whether they are provided through a 3rd party or proprietary.
Document types from partner Base64 request ""TotalAgility Document Library Base64 Page Count""
All other documents require ""TotalAgility Document Library Page Count""
Without the fix pack and the correct volume license, you will not be able to see existing or new document types.",Predefined Document Locator - Document Library 2025.2 and TA 8.1.0.4 License Requirements
"Add the new regular expression by adding this '[A-Z]{3,5}\d{3,4}[A-Z]{3}\d{2}' to capture the last 2 digits.
Then use 'Balanced' for the Zone Profile for the
Reread
option, the '0' value is extracted as expected.",System not capturing last 2 digits of invoice number
"This is because of Windows User Access Control (UAC).
Even if you are running under an Administrator account, Windows protects certain areas of the Registry and the Program Files and Windows files and folders as a security measure.
To work around this, it is necessary to run the Export Connector installer under Elevated permissions.
1. Launch an Elevated (Right-click on Command Prompt, then select ""Run As Administrator"") Command Window.
2. From this Command Window, run the Export Connector installer.
The Export connector setup with then be able to access HKEY_CLASSES_ROOT to register the Export connector DLL with Windows.
Level of Complexity
Easy",Connector Registration Failed
